Job Title,Company,Salary,Address
HOTNhân Viên Kinh Doanh Thử Việc 100% Lương - Không Yêu Cầu Kinh Nghiệm - Thu Nhập 10-25M/Tháng,CÔNG TY CỔ PHẦN CÔNG NGHỆ SỐ THIÊN QUANG,10 - 25 triệu VND,Hà Nội
Senior Java Developer– MSB - 1Y560,Ngân hàng TMCP Hàng Hải Việt Nam (MSB),"1,000 - 2,000 usd",Hà Nội
"Android Developer (Java/Kotlin, 1.5Yoe)","MARUSYS VINA CO.,LTD",thoả thuận,Hà Nội
Nhân Viên Tiếng Nhật,FPT Software Innovation Company  Limited,7 - 15 triệu VND,Hà Nội & 3 nơi khác
"GẤPNhân Viên Digital Marketing Lĩnh Vực Du Học Tại Hà Nội (Kinh Nghiệm Từ 6 Tháng Trở Lên, Mức Lương Từ 10 - 15 Triệu)",CÔNG TY TNHH GIÁO DỤC QUỐC TẾ LINCA VIỆT NAM,10 - 15 triệu VND,Hà Nội
"Nhân Viên Xử Lý Dữ Liệu Tiếng Nhật (Làm Việc Tại Nhà, Thời Gian Linh Hoạt >4h/Ngày)",FPT Software,8 - 12 triệu VND,Hà Nội
Giáo Viên Tin Học (Tại Hồ Chí Minh - Thu Nhập Đến 15 Triệu),CÔNG TY TNHH ĐÀO TẠO GIÁO DỤC NGUYỄN TRẦN,12 - 15 triệu VND,Hồ Chí Minh
GẤPIT Helpdesk Engineer/ IT Support/ Information Technology/ Công Nghệ Thông Tin CNTT Tại Hà Nội (Thu Nhập Hấp Dẫn),CÔNG TY TNHH THƯƠNG MẠI CÔNG NGHỆ THÁI BÌNH,thoả thuận,Hà Nội
Kỹ Sư Cầu Nối Tiếng Nhật BrSE - Lương Upto 3000$ - Làm Việc Tại Hà Nội,công ty cổ phần Data Impact,"3,000 usd",Hà Nội
"HOTNhân Viên Seo Website Mảng Máy Móc Thiết Bị (Hà Nội, Hồ Chí Minh)",công ty TNHH TMDV XNK Hải Minh,10 - 20 triệu VND,"Hà Nội, Hồ Chí Minh"
Nhân Viên Kinh Doanh/ Sales Online Mảng Công Nghệ,CÔNG TY TNHH GIẢI PHÁP SEO & SEM,10 - 20 triệu VND,Hồ Chí Minh
"Middle/Senior Java Developer (English, Up 2500$)",CÔNG TY TNHH SOFTROAD,25 - 45 triệu VND,Hà Nội
Android Developer,CÔNG TY CỔ PHẦN CÔNG NGHỆ CAO CTECH,15 - 30 triệu VND,Hà Nội
Nhân Viên Xử Lý Dữ Liệu Hình Ảnh (Dán Nhãn Cho Dự Án AI) - Không Yêu Cầu Kinh Nghiệm,CÔNG TY TNHH AI DATASET,72 triệu VND,Hà Nội
Mobile Developer (React Native) – 4C001,Ngân hàng TMCP Hàng Hải Việt Nam (MSB),"1,000 - 2,000 usd",Hà Nội
TOPKỹ Sư Lập Trình Backend Developer,TẬP ĐOÀN CÔNG NGHIỆP - VIỄN THÔNG QUÂN ĐỘI,thoả thuận,Hà Nội
TOPKỹ Sư Lập Trình Full Stack Developer,TẬP ĐOÀN CÔNG NGHIỆP - VIỄN THÔNG QUÂN ĐỘI,thoả thuận,Hà Nội
Senior Tester (Automation/Manual) Upto 1500$ – MSB - 1Y561,Ngân hàng TMCP Hàng Hải Việt Nam (MSB),"1,000 - 1,500 usd",Hà Nội
Chuyên Viên Thiết Kế Đồ Họa- Thu Nhập 12- 18 Tháng- Tại Hà Đông,CÔNG TY CỔ PHẦN CÔNG NGHỆ GRANDX,12 - 18 triệu VND,Hà Nội
"Fullstack Developer (Chuyên Java, Angular) - Từ 5 Năm Kinh Nghiệm",CÔNG TY TNHH GIẢI PHÁP CÔNG NGHỆ HÀNG ĐẦU,30 - 60 triệu VND,Hồ Chí Minh
Salesforce CRM Developer - Tại Hà Nội - Thu Nhập Hấp Dẫn,CÔNG TY CỔ PHẦN SMARTOSC,thoả thuận,"Hà Nội, Hồ Chí Minh"
Senior Business Analyst - Domain Banking - Thu Nhập Hấp Dẫn,CÔNG TY CỔ PHẦN SMARTOSC,thoả thuận,Hà Nội
Nhân Viên Kỹ Thuật Camera / Hỗ Trợ Khách Hàng Từ Xa Ngành Công Nghệ Thông Tin (CNTT) Thu Nhập Lên Tới 15 Triệu,Công ty Cổ Phần Giải Pháp Kết Nối Số,10 - 15 triệu VND,Hà Nội
Nhân Viên Kỹ Thuật Máy Tính Tại Hà Nội - Đi Làm Ngay,Công ty Cổ phần Truyền thông và Máy tính Thánh Gióng,7 - 10 triệu VND,Hà Nội
Chuyên Viên Phân Tích Dữ Liệu (Data Analyst),Công Ty Cổ Phần Công Nghệ SellerSmith,"1,000 - 1,700 usd",Hà Nội
"Fresher Front End Developer - SSStutter - Phúc Lợi Tốt, Thu Nhập Cao",SSSTUTTER,thoả thuận,Hà Nội
Chuyên Viên Kinh Doanh Online (Lĩnh Vực Đào Tạo),Viện Công nghệ Blockchain và Trí tuệ nhân tạo ABAII,10 - 25 triệu VND,Hà Nội
Nhân Viên Kỹ Thuật Máy Tính,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ IT VŨNG TÀU,thoả thuận,Bà Rịa-Vũng Tàu
Developer Backend ( Java ) Thu Nhập Lên Tới 35 Triệu - 3 Năm Kinh Nghiêm,Công ty TNHH cung cấp dịch vụ viễn thông phương thảo,35 triệu VND,Hà Nội
Nhân Viên IT - Tại Hà Nội - Thu Nhập 10 - 12 Triệu,Công ty Cổ phần VPMILK,10 - 12 triệu VND,Hà Nội
Business Development Manager,CÔNG TY CỔ PHẦN HYRATEK,45 - 50 triệu VND,Hà Nội
Business Anlyst (BA),CÔNG TY TNHH SMATEZ,thoả thuận,Hồ Chí Minh
Blockchain Engineer_2 Năm Kinh Nghiệm Lương Upto $3000,CÔNG TY CỔ PHẦN HYRATEK,35 - 40 triệu VND,Hà Nội
Senior Graphic Designer & Multimedia,CÔNG TY TNHH BBRACING,thoả thuận,Hồ Chí Minh
Nhân Viên Marketing Ngành Thương Mại Điện Tử,CÔNG TY TNHH QUỐC ANH GLOBAL,8 - 10 triệu VND,Hồ Chí Minh
Java Backend Developer (Thu Nhập 15 - 45 Triệu),Công ty cổ phần công nghệ HDT Việt Nam,15 - 45 triệu VND,Hà Nội
Nhân Viên Phát Triển Kinh Doanh B2B (Thu Nhập Từ 15 - 30 Triệu +++),CÔNG TY CỔ PHẦN THƯƠNG MẠI DỊCH VỤ CÔNG NGHỆ BIZITRIP,15 - 30 triệu VND,Hồ Chí Minh
Full Stack Developer (Senior: Node Js/ BunJs) Salary Upto $3k,CÔNG TY CỔ PHẦN HYRATEK,30 - 60 triệu VND,Hà Nội
Nhân Viên Thiết Kế Đồ Họa 2D Tại Nhà Bè,Công ty TNHH Thương mại Dịch vụ Dược phẩm Bình Phú,thoả thuận,Hồ Chí Minh
"Nhân Viên Phát Triển Website, Tiktok, Fanpage - Lương Từ 6 Đến 8 Triệu  - Tân Bình TPHCM",Facio Shop,6 triệu VND,Hồ Chí Minh
Nhân Viên Kinh Doanh Phần Mềm - Lương Cứng 10 Triệu - Thu Nhập Lên Đến 35 Triệu,CÔNG TY CỔ PHẦN GIẢI PHÁP PHẦN MỀM INCOMSOFT,12 - 35 triệu VND,Hồ Chí Minh
MID Backend (.NET) Developer,CÔNG TY TNHH ISB VIỆT NAM,15 - 30 triệu VND,Hồ Chí Minh
Business Development Executive,CÔNG TY CỔ PHẦN CÔNG NGHỆ FLYER,20 triệu VND,Hà Nội
Anroid Developer (Java/ Kotlin),Viettel Digital,thoả thuận,Hà Nội
IOS Developer (Objective-C/Swift),Viettel Digital,thoả thuận,Hà Nội
Senior Frontend Developer (ReactJS),"TECHVIFY SOFTWARE., JSC",50 triệu VND,Hà Nội
Giám Sát Công Nghệ Thông Tin (Yêu Cầu Kinh Nghiệm 2 Năm Trở Lên),Công ty Cổ phần Vega Holidays,20 - 25 triệu VND,Hà Nội
Nhân Viên Digital Google Ads Word - Seo,Công Ty Cổ Phần Bệnh Viện Thú Y PetHealth,13 - 15 triệu VND,Hà Nội
